"   ";"CASEWHENSUBSTR(ART.TXT_ISSN_IS"
"1091";"1515-1786"
"1092";"1053-0487"
"1093";"2310-700X"
"1094";"0030-7653"
"1095";"  15-4846"
"1096";"8590-2627"
"1097";"0939-7248"
"1098";"8875-8709"
"1099";"0003-3920"
"1100";"8587-184X"
"1101";"1984-0950"
"1102";"2237-6844"
"1103";"1070-3284"
"1104";"0873-6529"
"1105";"1727-1983"
"1106";"0360-5043"
"1107";"9608-2231"
"1108";"0932-4194"
"1109";"1573-4846"
"1110";"1270-9638"
"1111";"1809-9602"
"1112";"1546-2498"
"1113";"1806-0471"
"1114";"0018-048X"
"1115";"1677-6556"
"1116";"0021-1753"
"1117";"1677-0846"
"1118";"1420-8989"
"1119";"1415-1803"
"1120";"0326-3681"
"1121";"1364-5021"
"1122";"  14-1539"
"1123";"1518-198"
"1124";"1098-3015"
"1125";"1517-8882"
"1126";"0819-4610"
"1127";"8598-7110"
"1128";"1089-3272"
"1129";"0959-289X"
"1130";"1518-684"
"1131";"1053-8100"
"1132";"0362-2436"
"1133";"2316-3798"
"1134";"1809-8614"
"1135";"1740-3340"
"1136";"1415-5532"
"1137";"1666-6143"
"1138";"1982-4238"
"1139";"1726-2216"
"1140";"1132-1989"
"1141";"0122-2406"
"1142";"0256-307X"
"1143";"1679-6799"
"1144";"2175-9243"
"1145";"1808-0189"
"1146";"0102-40"
"1147";"0751-1320"
"1148";"1679-9909"
"1149";"1679-9533"
"1150";"1679-4737"
"1151";"1980-9980"
"1152";"1980-6493"
"1153";"2178-289X"
"1154";"1938-2650"
"1155";"2152-7385"
"1156";"0000-0612"
"1157";"1608-0017"
"1158";"1983-4373"
"1159";"8598-4020"
"1160";"1356-1405"
"1161";"0968-7432"
"1162";"1518-9058"
"1163";"1555-5275"
"1164";"8574-3090"
"1165";"8866-7142"
"1166";"1807-3840"
"1167";"1609-8102"
"1168";"0198-9715"
"1169";"1645-2259"
"1170";"1470-8914"
"1171";"0363-0234"
"1172";"1911-5237"
"1173";"1679-7620"
"1174";"1516-9153"
"1175";"1517-221X"
"1176";"1544-3558"
"1177";"1511-6079"
"1178";"1270-9840"
"1179";"1309-8061"
"1180";"0041-8986"
"1181";"1546-1440"
"1182";"0101-4315"
"1183";"1676-7683"
"1184";"1015-3233"
"1185";"1981-528X"
"1186";"1806-938X"
"1187";"1520-8532"
"1188";"1678-4367"
"1189";"1415-207X"
"1190";"1518-9066"
"1191";"1514-7991"
"1192";"1659-1852"
"1193";"1806-9576"
"1194";"1807-2143"
"1195";"1468-3296"
"1196";"1617-1381"
"1197";"1020-8186"
"1198";"9810-4906"
"1199";"0012-4486"
"1200";"0104-7531"
"1201";"1679-155X"
"1202";"1983-0963"
"1203";"0742-3322"
"1204";"1072-4303"
"1205";"1935-4932"
"1206";"1516-039X"
"1207";"2178-2008"
"1208";"0328-431X"
"1209";"1981-1233"
"1210";"1568-007X"
"1211";"1536-1276"
"1212";"1519-996X"
"1213";"1679-3501"
"1214";"0273-0979"
"1215";"0905-7188"
"1216";"0012-0012"
"1217";"2177-5796"
"1218";"1981-6286"
"1219";"1939-5833"
"1220";"1519-0137"
"1221";"0210-8259"
"1222";"100 -1655"
"1223";"0705-3436"
"1224";"1934-7359"
"1225";"1571-5124"
"1226";"1518-8418"
"1227";"1808-9496"
"1228";"1980-3133"
"1229";"9597-1645"
"1230";"1414-7616"
"1231";"0163-2108"
"1232";"0360-1293"
"1233";"1809-6204"
"1234";"2177-9333"
